X,filing_date,trade_date,ticker,company,insider,title,trade_type,price,qty,Owned,ΔOwn,value,1d,1w,1m,6m,entry_date,entry_price,ret_1w,ret_1m,ret_3m,ret_6m
,2025-05-05 16:14:02,2025-05-05,SKT,Tanger Inc.,Yalof Stephen,"Pres, CEO",P - Purchase,29.87,3348.0,831611,0%,100000.0,,,,,2025-05-06,28.190934778832045,0.07218612995230989,0.003079003173135586,0.12329731883933936,0.17329174105012357
,2025-05-05 10:06:51,2025-05-02,MDXG,"Mimedx Group, Inc.",Capper Joseph H,CEO,P - Purchase,6.34,200000.0,529530,+61%,1268000.0,,,,,2025-05-06,6.630000114440918,0.08144795664133464,-0.04374056664363757,0.09200597981116099,0.15987932495969903
,2025-05-02 17:45:00,2025-05-01,SON,Sonoco Products Co,Coker R. Howard,"Pres, CEO",P - Purchase,41.17,20000.0,520239,+4%,823472.0,,,,,2025-05-05,42.391261399073116,0.03536927877712559,0.009874199141946205,0.012130463791412582,-0.08949611262283252
,2025-05-02 17:36:37,2025-05-02,BDN,Brandywine Realty Trust,Sweeney Gerard H,"Pres, CEO",P - Purchase,4.07,61576.0,2949092,+2%,250614.0,,,,,2025-05-05,3.650587882630343,0.03911966701937408,0.06356944088379701,-0.0020229894993722963,-0.13110997402108193
,2025-05-02 16:17:08,2025-05-02,FTAI,Ftai Aviation Ltd.,Adams Joseph P. Jr.,"CEO, COB",P - Purchase,94.54,3000.0,529468,+1%,283620.0,,,,,2025-05-05,89.3301753950474,0.25163443321645906,0.36436374724721987,0.5438792987365844,0.9227534502705586
,2025-05-02 08:31:02,2025-05-01,MBIN,Merchants Bancorp,Dury Michael R.,CEO of Merchants Capital,P - Purchase,30.86,3305.0,154774,+2%,101992.0,,,,,2025-05-05,30.478772011234756,0.05339799956460323,0.014886841324468714,0.0001725681733306672,0.021318332100008552
,2025-05-01 19:31:26,2025-04-30,PHIN,Phinia Inc.,Ericson Brady D,"Pres, CEO",P - Purchase,39.73,10000.0,436486,+2%,397327.0,,,,,2025-05-02,41.602283629572874,-0.021116770088849046,0.014759863740435808,0.16987784684351426,0.23150034820934784
,2025-05-01 11:20:41,2025-04-30,MTX,Minerals Technologies Inc,Dietrich Douglas T,"COB, CEO",P - Purchase,51.56,2000.0,166179,+1%,103120.0,,,,,2025-05-02,52.66009228782734,0.05382000808690246,0.08354148953163465,0.06600716938290652,0.07421585325087521
,2025-05-01 08:40:44,2025-04-30,MBIN,Merchants Bancorp,Dury Michael R.,CEO of Merchants Capital,P - Purchase,30.19,5200.0,151469,+4%,157002.0,,,,,2025-05-02,30.84373068760524,0.00639590247045696,0.018228258239846307,-0.03122985227349162,0.0036025683577518564
,2025-05-01 07:23:37,2025-04-30,MTDR,Matador Resources Co,Foran Joseph Wm,"COB, CEO",P - Purchase,39.21,5000.0,5413411,0%,196050.0,,,,,2025-05-02,39.7748213514499,0.042505579312609454,0.11688315913405423,0.16224138411435063,-0.03137673501145877
D,2025-04-30 16:16:24,2025-04-28,SKAS,"Saker Aviation Services, Inc.",Wachtel William B,"Pres, CEO, 10%",P - Purchase,8.63,108817.0,257696,+73%,939091.0,,,,,2025-05-01,7.989999771118164,0.0,0.0012515931374597056,-0.09136415058171743,-0.148936121961461
,2025-04-30 07:19:35,2025-04-29,MTDR,Matador Resources Co,Foran Joseph Wm,"COB, CEO",P - Purchase,40.86,5000.0,5408411,0%,204300.0,,,,,2025-05-01,38.02246050446248,0.08052655092817118,0.10993975596329908,0.21988782771761595,0.009669873930097328
,2025-04-28 17:49:26,2025-04-28,DOC,"Healthpeak Properties, Inc.",Brinker Scott M,"Pres, CEO",P - Purchase,17.68,11337.0,201863,+6%,200438.0,,,,,2025-04-29,16.451727030546518,-0.021873434216461374,-0.011701203135053184,-0.017430763883208966,0.04638659553614799
,2025-04-28 17:13:27,2025-04-25,ENPH,"Enphase Energy, Inc.",Kothandaraman Badrinarayanan,"Pres, CEO",P - Purchase,46.35,4000.0,1686032,0%,185390.0,,,,,2025-04-29,46.63999938964844,-0.05939109120954367,-0.15866204562652808,-0.2838764587700251,-0.2131217572210159
,2025-04-28 10:49:44,2025-04-24,COSM,Cosmos Health Inc.,Siokas Grigorios,"CEO, 10%",P - Purchase,0.4,254618.0,5582066,+5%,102000.0,,,,,2025-04-29,0.4099999964237213,0.0829268526704734,0.07804879396178777,1.1951219122158774,1.292682941012408
D,2025-04-25 16:01:36,2025-04-17,UPXI,"Upexi, Inc.",Marshall Allan,"CEO, 10%",P - Purchase,2.28,657895.0,884318,+291%,1500001.0,,,,,2025-04-28,15.65999984741211,-0.22286077938212134,-0.3518518698959241,-0.6532567125640198,-0.6845466088534593
,2025-04-25 15:49:19,2025-04-25,LKQ,Lkq Corp,Jude Justin L,"Pres, CEO",P - Purchase,36.99,2708.0,280777,+1%,100178.0,,,,,2025-04-28,35.7139277138124,0.05282813473993331,0.08109085395889126,-0.18118725729810625,-0.14596591119687397
,2025-04-24 20:00:03,2025-04-22,CTGO,"Contango Ore, Inc.",Van Nieuwenhuyse Rick,"Pres, CEO",P - Purchase,13.7,7500.0,558369,+1%,102750.0,,,,,2025-04-25,14.699999809265137,-0.09523807052350297,0.38571436078485966,0.32857149252043594,0.5156463248797349
,2025-04-22 09:59:59,2025-04-21,COSM,Cosmos Health Inc.,Siokas Grigorios,"CEO, 10%",P - Purchase,0.32,654912.0,4770214,+16%,208000.0,,,,,2025-04-23,0.35600000619888306,0.19101120115244563,0.24438196932738343,0.6573032682599078,1.8651684358586227
,2025-04-17 16:27:55,2025-04-15,ASAN,"Asana, Inc.",Moskovitz Dustin A.,"Pres, CEO, Chair, 10%",P - Purchase,15.84,50000.0,55545482,0%,792000.0,,,,,2025-04-18,14.640000343322754,0.09084698719373074,0.21721306536388507,0.02663930194689601,-0.0013661514545519893
,2025-04-17 15:46:58,2025-04-15,CVGW,Calavo Growers Inc,Cole Lecil E,CEO,P - Purchase,24.57,40775.0,615000,+7%,1001842.0,,,,,2025-04-18,25.398696820802606,0.02251042503185663,0.02556279000460604,0.02632869735974719,-0.07841857681790021
,2025-04-17 13:35:27,2025-04-14,CVGW,Calavo Growers Inc,Cole Lecil E,CEO,P - Purchase,24.6,38155.0,574225,+7%,938613.0,,,,,2025-04-18,25.398696820802606,0.02251042503185663,0.02556279000460604,0.02632869735974719,-0.07841857681790021
D,2025-04-15 17:24:03,2025-04-14,ROAD,"Construction Partners, Inc.",Smith Fred Julius III,"Pres, CEO",P - Purchase,73.83,9333.0,76259,+14%,689055.0,,,,,2025-04-16,79.25,0.024100992581821856,0.27621450333941255,0.35735015387790803,0.4585488496894716
,2025-04-15 16:54:02,2025-04-11,CVGW,Calavo Growers Inc,Cole Lecil E,CEO,P - Purchase,23.73,21070.0,536070,+4%,499991.0,,,,,2025-04-16,24.29398383692432,0.09014766568027843,0.07299564857130636,0.06134435823311746,-0.04137185909903118
,2025-04-14 18:57:31,2025-04-10,RCKT,"Rocket Pharmaceuticals, Inc.",Shah Gaurav,CEO,P - Purchase,5.08,20000.0,1198918,+2%,101600.0,,,,,2025-04-15,6.050000190734863,0.1801652299813128,0.11157019712683947,-0.4479339158890806,-0.2991736136452663
,2025-04-14 17:06:11,2025-04-11,ASAN,"Asana, Inc.",Moskovitz Dustin A.,"Pres, CEO, Chair, 10%",P - Purchase,15.58,75493.0,55495482,0%,1176181.0,,,,,2025-04-15,15.649999618530273,-0.03386579845942295,0.1546325965036166,-0.07923321414333784,-0.09712457131881402
D,2025-04-10 21:09:05,2025-04-09,QTI,"Qt Imaging Holdings, Inc.",Dinu Raluca,CEO,P - Purchase,0.64,392465.0,1168035,+51%,250000.0,,,,,2025-04-11,9.015000343322754,0.1064891848681988,0.3477536501182228,1.9950082054071587,2.6039933933592745
M,2025-04-10 18:52:34,2025-04-08,ASAN,"Asana, Inc.",Moskovitz Dustin A.,"Pres, CEO, Chair, 10%",P - Purchase,14.94,450000.0,55419989,+1%,6722356.0,,,,,2025-04-11,15.609999656677246,-0.08135807380021998,0.16784112384258543,-0.12235745608073079,-0.08648298894855788
,2025-04-10 17:07:15,2025-04-10,OPK,"Opko Health, Inc.",Frost Phillip Md Et Al,"CEO, COB, 10%",P - Purchase,1.36,125000.0,247697576,0%,169713.0,,,,,2025-04-11,1.3799999952316284,-0.007246369925949403,-0.057971045791138986,-0.036231849629747126,0.094202895420886
,2025-04-10 16:38:03,2025-04-08,LPG,Dorian Lpg Ltd.,Hadjipateras John C,"Pres, CEO, 10%",P - Purchase,17.75,30000.0,1993550,+2%,532500.0,,,,,2025-04-11,16.906362867782853,0.085095168503309,0.25264266145206205,0.5134159383746457,0.4475074351676993
,2025-04-09 10:42:04,2025-04-07,CIA,"Citizens, Inc.",Stenberg Jon,"Pres, CEO",P - Purchase,3.89,106340.0,263379,+68%,413250.0,,,,,2025-04-10,4.099999904632568,0.06341469144622747,-0.02682924333035641,-0.1829268335232347,0.2975610476601076
M,2025-04-08 21:30:51,2025-04-04,NUVB,Nuvation Bio Inc.,Hung David,"Pres, CEO, 10%",P - Purchase,1.64,500000.0,58781054,+1%,820220.0,,,,,2025-04-09,1.6399999856948853,0.14634147050620405,0.27439020268268877,0.34146345541067347,1.2865853857986989
,2025-04-08 17:34:21,2025-04-08,OPK,"Opko Health, Inc.",Frost Phillip Md Et Al,"CEO, COB, 10%",P - Purchase,1.48,125000.0,247572576,0%,184650.0,,,,,2025-04-09,1.440000057220459,-0.013888957875743513,-0.13888891648363078,-0.06250002069605642,0.08333325054910778
,2025-04-08 16:35:49,2025-04-07,GMS,Gms Inc.,Turner John C Jr,"Pres, CEO",P - Purchase,70.0,3650.0,66928,+6%,255500.0,,,,,2025-04-09,,,,,
,2025-04-07 18:09:45,2025-04-03,AMAT,Applied Materials Inc /De,Dickerson Gary E,"Pres, CEO",P - Purchase,137.3,50000.0,1716058,+3%,6865082.0,,,,,2025-04-08,,,,,
M,2025-04-07 17:57:02,2025-04-03,ASAN,"Asana, Inc.",Moskovitz Dustin A.,"Pres, CEO, Chair, 10%",P - Purchase,14.15,675000.0,54969989,+1%,9551216.0,,,,,2025-04-08,137.01245374388617,0.050863482428279205,0.12708623372682282,0.43481756580819697,0.5804758631898859
,2025-04-07 16:28:20,2025-04-03,GME,Gamestop Corp.,Cohen Ryan,"Pres, CEO, COB",P - Purchase,21.55,500000.0,37347842,+1%,10775000.0,,,,,2025-04-08,14.520000457763672,0.08057844943069847,0.18801649147170862,-0.0068870783964926074,0.044765812537060024
D,2025-04-04 21:36:07,2025-04-04,DOMO,"Domo, Inc.",James Joshua G,"Founder, CEO, 10%",P - Purchase,6.5,77300.0,1594512,+5%,502172.0,,,,,2025-04-07,,,,,
,2025-04-04 19:12:45,2025-04-04,RGP,"Resources Connection, Inc.",Duchene Kate W,"Pres, CEO",P - Purchase,5.14,20000.0,571451,+4%,102800.0,,,,,2025-04-07,4.669415986943782,0.08134929300084393,0.07341279079910157,0.16406893167499148,-0.01121035029456885
D,2025-04-04 18:29:22,2025-04-03,SMA,"Smartstop Self Storage Reit, Inc.",Schwartz H. Michael,CEO,P - Purchase,30.0,18000.0,168121,+12%,540000.0,,,,,2025-04-07,30.508755497827273,0.015189178536389791,0.08106653617041548,0.13863030284656563,0.13641303683530048
M,2025-04-04 17:08:28,2025-04-02,DC,Dakota Gold Corp.,Quartermain Robert,"Pres, CEO",P - Purchase,2.58,65000.0,0,-100%,168000.0,,,,,2025-04-07,2.450000047683716,0.16326524455663627,0.13061221510804977,0.6408162868107332,0.9673469705514135
,2025-04-03 18:05:05,2025-04-01,ALMS,Alumis Inc.,Babler Martin,"Pres, CEO, COB",P - Purchase,6.44,15650.0,106454,+17%,100733.0,,,,,2025-04-04,8.479999542236328,-0.23584901310447548,-0.4870282854419359,-0.5896226171073886,-0.5141509306647245
D,2025-04-03 16:28:23,2025-04-02,TLPH,"Talphera, Inc.",Angotti Vincent J.,CEO,P - Purchase,0.59,213310.0,474769,+82%,125000.0,,,,,2025-04-04,0.5600000023841858,-0.1071428609441738,-0.035714251502436234,-0.12499998669539181,0.9642857484975638
M,2025-04-01 19:14:43,2025-03-28,WOOF,"Petco Health & Wellness Company, Inc.",Anderson Joel D,CEO,P - Purchase,2.97,1586088.0,4806269,+49%,4717461.0,,,,,2025-04-02,3.200000047683716,0.015624984866008385,-0.043750032130628336,-0.03750003818422498,0.20937494621612207
,2025-04-01 17:32:28,2025-03-28,ISPO,Inspirato Inc,Zamani Payam,"CEO, 10%",P - Purchase,4.57,29500.0,1140000,+3%,134815.0,,,,,2025-04-02,,,,,
,2025-04-01 17:21:45,2025-04-01,OPK,"Opko Health, Inc.",Frost Phillip Md Et Al,"CEO, COB, 10%",P - Purchase,1.65,100000.0,247447576,0%,164850.0,,,,,2025-04-02,1.649999976158142,-0.09696967814141588,-0.15757575407282154,-0.17575755517782665,-0.06666667629974066
M,2025-04-01 16:50:09,2025-03-28,ASAN,"Asana, Inc.",Moskovitz Dustin A.,"Pres, CEO, Chair, 10%",P - Purchase,14.56,449507.0,54294989,+1%,6546993.0,,,,,2025-04-02,15.0600004196167,0.07968126001524234,0.08034528581890754,-0.07237716614988199,-0.10557769643331516
,2025-04-01 16:14:26,2025-03-28,ASPS,Altisource Portfolio Solutions S.A.,Shepro William B,"COB, CEO",P - Purchase,0.48,210498.0,1339474,+19%,101039.0,,,,,2025-04-02,5.440000057220459,0.25000002191347215,0.3970587913037176,0.7977940496508438,1.2077206070873254
D,2025-04-01 15:16:34,2025-04-01,FUL,Fuller H B Co,Mastin Celeste Beeks,"Pres, CEO",P - Purchase,56.66,3500.0,15488,+29%,198310.0,,,,,2025-04-02,55.308483368729846,-0.046960829288467565,-0.03320657528661164,0.10775445758797053,0.056574245290652136
,2025-03-31 16:58:42,2025-03-31,SIG,Signet Jewelers Ltd,Symancyk James Kevin,CEO,P - Purchase,57.45,15000.0,50710,+42%,861735.0,,,,,2025-04-01,58.692874908447266,-0.14629216134033662,0.01153894274562206,0.41950196883722435,0.6250307016417864
,2025-03-31 16:55:48,2025-03-28,SAIC,Science Applications International Corp,Townes-Whitley Toni,CEO,P - Purchase,111.67,2000.0,45183,+5%,223332.0,,,,,2025-04-01,110.70502927467801,-0.032312470502710466,0.06349231399224231,0.04701570686900114,-0.09643961480869312
,2025-03-31 09:56:29,2025-03-27,CMC,Commercial Metals Co,Matt Peter R,"Pres, CEO",P - Purchase,48.3,6100.0,129417,+5%,294630.0,,,,,2025-04-01,45.225859513774104,-0.14373081993587433,-0.009392767340266284,0.1386540640194338,0.29233085136285886
,2025-03-28 17:22:09,2025-03-28,OPK,"Opko Health, Inc.",Frost Phillip Md Et Al,"CEO, COB, 10%",P - Purchase,1.7,150000.0,247347576,0%,254385.0,,,,,2025-03-31,1.690000057220459,-0.09467460379489001,-0.18343198313181552,-0.21301775273144452,-0.0828402959550385
,2025-03-27 19:53:42,2025-03-27,FG,"F&G Annuities & Life, Inc.",Blunt Christopher O,CEO,P - Purchase,35.96,10000.0,849584,+1%,359618.0,,,,,2025-03-28,35.040255457964115,-0.06438340392001463,-0.022191896901591512,-0.1176693501359185,-0.12254677082423393
,2025-03-27 19:09:30,2025-03-26,DXPE,Dxp Enterprises Inc,Little David R,"COB, CEO, 10%",P - Purchase,82.7,5999.0,1257593,0%,496117.0,,,,,2025-03-28,84.43000030517578,-0.13004860022795106,0.03624301252556261,0.038138116890492624,0.44391807676726924
